ID,TIME,SENSOR,VALUE
0,11/26/2021 4:33:20,WaterLevel,2.5
1,11/26/2021 4:41:51,WaterLevel,2.5
2,11/26/2021 4:46:01,WaterLevel,0
3,11/26/2021 4:46:06,WaterLevel,2.12
4,11/26/2021 4:46:11,WaterLevel,1.92
5,11/26/2021 4:46:16,WaterLevel,1.58
6,11/26/2021 4:46:21,WaterLevel,1.83
7,11/26/2021 4:46:26,WaterLevel,2.18
8,11/26/2021 4:46:30,WaterLevel,1.64
9,11/26/2021 4:46:35,WaterLevel,1.77
10,11/26/2021 4:46:40,WaterLevel,2.16
11,11/26/2021 4:46:45,WaterLevel,1.8
12,11/26/2021 4:46:50,WaterLevel,1.71
13,11/26/2021 4:46:55,WaterLevel,2.24
14,11/26/2021 4:46:59,WaterLevel,2
15,11/26/2021 4:47:04,WaterLevel,1.56
16,11/26/2021 4:47:09,WaterLevel,1.74
17,11/26/2021 4:47:14,WaterLevel,2.24
18,11/26/2021 4:47:19,WaterLevel,2.09
19,11/26/2021 4:47:24,WaterLevel,1.52
20,11/26/2021 4:47:28,WaterLevel,1.68
21,11/26/2021 4:47:33,WaterLevel,2.04